Texto,Intencao
"Quero um roteiro de 3 dias em Lisboa",roteiro
"Monte um roteiro de viagem para Madrid",roteiro
"Quais eventos culturais estão acontecendo no Porto?",eventos
"Mostre-me concertos este fim de semana em Barcelona",eventos
"Como vai estar o clima em Lisboa amanhã?",clima
"Vai chover no Algarve neste sábado?",clima
"Quero saber a previsão do tempo para Madrid",clima
"Como posso ir de Lisboa para o Porto?",transporte
"Existe comboio de Coimbra para Braga?",transporte
"Qual a melhor rota de carro de Sevilha para Faro?",transporte
"Quero recomendações de restaurantes em Lisboa",pois
"Mostre praias próximas de Valência",pois
"Quais museus visitar em Madrid?",pois
"Quero sugestões de locais históricos em Évora",pois
"Quero criar um roteiro de 2 dias com foco em praias e cultura",roteiro
"Planeje uma viagem em grupo para o Algarve",roteiro
"Mostre eventos de música em Lisboa",eventos
"Quero saber se há festas populares em Braga",eventos
"Mostre a rota dos moinhos em Bragança",rotas
"Quais são as melhores trilhas para caminhadas em Sintra?",rotas
"Rota histórica dos castelos no norte de Portugal",rotas
"Trilha do vinho em Vila Real",rotas
"Roteiro das praias do Algarve para um dia de carro",roteiro
"Roteiro gastronômico em Lisboa",roteiro
"Rota de bicicleta pelo Parque Natural da Arrábida",rotas
"Roteiro cultural de Lisboa incluindo museus e monumentos",roteiro
"Crie um roteiro de 5 dias em Roma",roteiro
"Monte um itinerário de viagem para Paris com foco em gastronomia",roteiro
"Quais feiras culturais vão acontecer em Lisboa este mês?",eventos
"Mostre shows de jazz em Barcelona na próxima semana",eventos
"Qual a temperatura máxima esperada para Sevilha amanhã?",clima
"Vai nevar em Madrid este fim de semana?",clima
"Qual o horário do primeiro comboio de Porto para Lisboa?",transporte
"Existe voo direto de Faro para Lisboa?",transporte
"Quais restaurantes em Lisboa têm menu vegetariano?",pois
"Mostre parques e áreas verdes em Valência",pois
"Quais igrejas históricas visitar em Toledo?",pois
"Sugira passeios para um fim de semana romântico em Sintra",roteiro
"Planeje uma viagem econômica para Barcelona",roteiro
"Eventos de teatro em Lisboa este mês",eventos
"Há festivais tradicionais acontecendo em Coimbra?",eventos
"Liste as principais atrações turísticas de Lisboa",pois
"Resumo das condições climáticas de Madrid para os próximos 3 dias",clima
"Resumo das opções de transporte entre Porto e Lisboa",transporte
"Lista de restaurantes mais avaliados em Barcelona",pois
"Eventos culturais e musicais em Lisboa resumidos",eventos
"Principais pontos turísticos históricos de Évora",pois
"Recomendações de roteiros curtos em Algarve",roteiro
"Quais dicas você tem para aproveitar 3 dias em Lisboa?",roteiro
"Como posso organizar um roteiro de viagem para Madrid com crianças?",roteiro
"Me ajude a planejar uma visita rápida a museus em Porto",roteiro
"Que transporte é mais rápido de Lisboa para Sevilha?",transporte
"Você pode sugerir restaurantes para um jantar romântico em Valência?",pois
"Quais eventos imperdíveis estão acontecendo no Algarve este mês?",eventos
"Olá",chat
"Oi",chat
"Bom dia",chat
"Boa tarde",chat
"Boa noite",chat
"Tudo bem?",chat
"Como vai?",chat
"Como você está?",chat
"Oi, tudo certo?",chat
"Prazer em falar com você",chat
"Como posso te chamar?",chat
"Você está aí?",chat
"Tá me ouvindo?",chat
"Olá, tudo bom contigo?",chat
"Oi, gostaria de conversar",chat
"Olá, está disponível?",chat
"Bom te ver de novo",chat
"Olá, voltei",chat
"Estou de volta",chat
"Obrigado",chat
"Muito obrigado",chat
"Valeu!",chat
"Agradeço pela ajuda",chat
"Perfeito, obrigado",chat
"Legal!",chat
"Show!",chat
"Top!",chat
"Interessante",chat
"Que legal!",chat
"Adorei",chat
"Gostei bastante",chat
"Estou animado",chat
"Estou empolgado",chat
"Estou cansado hoje",chat
"Estou só testando",chat
"Só queria ver se funciona",chat
"Estou explorando o sistema",chat
"Vamos conversar um pouco",chat
